nombre,tipo,categoria,lat,lng
Banco de la Nación Argentina,atm,banca,-32.8999846,-68.8422624
Hospital Central BANCO DE LA NACION ARGENTINA Cajero LINK,atm,banca,-32.89205889999999,-68.832881
Banelco,atm,banca,-32.8946303,-68.8402984
Banelco,atm,banca,-32.893645,-68.839958
Cajero Automatico Banelco,atm,banca,-32.8928732,-68.8399347
Citibank,bank,banca,-32.890749,-68.8397178
ATM LiNK,atm,banca,-32.890254,-68.8395539
LiNK,atm,banca,-32.889832,-68.8394079
HSBC,bank,banca,-32.8937266,-68.8464841
LiNK,atm,banca,-32.890301,-68.841877
Link,atm,banca,-32.88823299999999,-68.8390469
Cajero Automático Banelco,atm,banca,-32.88752790000001,-68.838864
HSBC,bank,banca,-32.9017879,-68.8588709
Santander Río,bank,banca,-32.88918139999999,-68.8430173
Cajero Automático Banelco,atm,banca,-32.8930609,-68.85005900000002
Galicia Banelco,atm,banca,-32.8928754,-68.8518137
Banco Galicia,atm,banca,-32.88498599999999,-68.848294
Santander Río,bank,banca,-32.89074,-68.8588099
Banelco,atm,banca,-32.9026209,-68.7890999
Banco Macro,atm,banca,-32.916128,-68.825628
Banelco,atm,banca,-32.89985899999999,-68.7881309
Cajero Automático Banelco,atm,banca,-32.9261386,-68.8438171
Parada De Autobus,atm,banca,-32.9153049,-68.83415819999999
LiNK,atm,banca,-32.89727600000001,-68.803405
Banco Patagonia,atm,banca,-32.9300479,-68.8502175
Cajero Automático Banelco,atm,banca,-32.92442599999999,-68.84851619999999
Banco San Juan,atm,banca,-32.9286899,-68.8560409
LiNK,atm,banca,-32.890491,-68.7990959
Cajero Automático Banelco,atm,banca,-32.9295534,-68.8573212
HSBC,bank,banca,-32.9145589,-68.8458249
Cajero Automático Link,atm,banca,-32.927115,-68.859106
Banco de la Nación Argentina,atm,banca,-32.8999846,-68.8422624
Cajero Banelco Galicia,atm,banca,-32.92463000000001,-68.843587
Banco de la Nación Argentina,atm,banca,-32.90182,-68.858981
BBVA Francés,atm,banca,-32.9152621,-68.8459512
BBVA Francés,bank,banca,-32.8921583,-68.85504829999999
Banco Credicoop Coop. Ltdo.,bank,banca,-32.9221589,-68.8477827
ICBC,atm,banca,-32.930593,-68.8063679
LINK,atm,banca,-32.9082412,-68.7891789
SUPERVIELLE,atm,banca,-32.937832,-68.840318
BANCO DE GALICIA BANELCO,atm,banca,-32.90297499999999,-68.7891703
Banelco,atm,banca,-32.9028489,-68.7892239
ICBC,atm,banca,-32.9154177,-68.8218125
Banelco Supervielle,atm,banca,-32.9382362,-68.8405228
Banelco Supervielle,atm,banca,-32.93210980000001,-68.8588333
Cajero Automático Banelco Banco Patagonia,atm,banca,-32.930089099999996,-68.8500581
cajero automatico,atm,banca,-32.9285769,-68.85847799999999
Rapipago,atm,banca,-32.9287412,-68.86121469999999
Cajero Banelco Supervielle,atm,banca,-32.9262388,-68.84393399999999
BANCO DE LA NACIÓN ARGENTINA,atm,banca,-32.9245839,-68.843977
Banelco Supervielle,atm,banca,-32.924493,-68.844503
Banelco Supervielle,atm,banca,-32.9016953,-68.7986069
Cajero Automático Galicia,atm,banca,-32.9283309,-68.8124684
Banelco Macro,atm,banca,-32.92862339999999,-68.81361439999999
Banelco,atm,banca,-32.9142079,-68.821966
Banelco Supervielle,atm,banca,-32.9214973,-68.7906036
ATM,atm,banca,-32.9095034,-68.79681889999999
Banelco Banco Galicia,atm,banca,-32.9036015,-68.788375
Villa Nueva Centro Guaymallen,atm,banca,-32.9033639,-68.7890094
Banelco Macro,atm,banca,-32.9089241,-68.7986908
Cajero Automático Banelco,atm,banca,-32.900476,-68.788112
Banelco Macro,atm,banca,-32.9228096,-68.8478317
Supervielle,atm,banca,-32.9097978,-68.86021629999999
Banelco Supervielle,atm,banca,-32.90540309999999,-68.8433151
Banelco Supervielle,atm,banca,-32.9121895,-68.82706449999999
Cajeros Banelco,atm,banca,-32.90175010000001,-68.8592527
Link,atm,banca,-32.900084,-68.8420715
Banco de la Nación Argentina,atm,banca,-32.8982147,-68.84718099999999
ATM Network Link,atm,banca,-32.8999614,-68.8292331
Cajero Automatico Banco Credicoop,atm,banca,-32.873976,-68.882509
Banco Macro,atm,banca,-32.856544,-68.887316
Banco Macro. Cajero Red Banelco,atm,banca,-32.845455,-68.77413039999999
Cajero Automatico Banelco Banco Macro,atm,banca,-32.8553655,-68.8085023
Banelco Supervielle,atm,banca,-32.8613777,-68.809967
Rapi Pago,atm,banca,-32.8720358,-68.8208471
Banelco Macro,atm,banca,-32.8631389,-68.8324946
Banelco Cajero Automatico,atm,banca,-32.8898295,-68.81349159999999
HSBC,atm,banca,-32.873964,-68.882485
ATM Network Link FINANDINO,atm,banca,-32.852768,-68.807819
Link,atm,banca,-32.8687709,-68.854259
CAJERO RED LINK,atm,banca,-32.8882445,-68.8413762
Banelco,atm,banca,-32.888421,-68.8403259
