ano,pbi,OfertaAgricultura,OfertaMinas,OfertaManufacturera,OfertaElectricidad,OfertaConstruccion,OfertaComercio,OfertaTransporte,OfertaFinaciera,OfertaSociales,OfertaImpuestos,DemandaConsumoHogares,DemandaConsumoGobiertano,DemandaConstrucciones,DemandaMaterialNacional,DemandaMaterialImportada,DemandaMaquinariaNacional,DemandaMaquinariaImportaciones,DemandaExportaciones,DemandaImportaciones,DemandaGib
1950,142098481044,13696637358,1452011417,32304751942,198218385,5918090281,25281650565,7262970408,19550757718,21743658464,14697709118,104655579712,21706316451,20353627362,668586865,584400198,3119383475,863112352,10729585056,14039465296,142098481044
1951,147436076837,14629457210,1686941522,33149279696,212725994,6060937395,26260862055,7534071597,19902737804,22368440435,15394949124,110537717447,21767097618,21739314091,842740200,2532757698,3562534310,1292775007,8455493993,15744444593,147436076837
1952,140491256038,12545616104,1794762161,32522906863,227896262,5571363747,24417324287,7017131008,20598804008,22577377299,14648699492,105108053681,21455589059,19685428171,1119084065,1484421674,3440750327,1088415946,6224082425,11637586183,140491256038
1953,147324304004,16402296333,1925706862,32341045582,242404261,5546340195,24009746257,7210541490,20716225895,23072219963,15257871308,106402901621,20742065172,20237375978,1207890913,1459988875,3621895632,886926720,9619869463,9626750804,147324304004
1954,153315563451,16308747029,2037374129,34903529762,263839496,5308705373,25492912808,7558082163,21278479393,23797814592,16078311792,114392396415,21238933697,19372130307,1173451578,805900196,4121320340,783079947,10201623290,12506287869,153315563451
1955,163902038699,16981291187,2118299446,39174291721,283961747,5442816307,28002631304,7948570705,22171732366,24231723108,17160086373,123934249988,22773188849,19934884939,1511471158,872767937,5242797875,1182263384,9102923830,14895127792,163902038699
1956,168610152061,16205390550,2172199353,41889147826,308694905,5280181747,29253637226,7980867765,22707078679,25318092191,17621653893,121963828787,24559294215,20298654544,1457046384,1640862771,6334293972,1129545866,10464721876,13350223127,168610152061
1957,177372898467,16126014586,2322398314,45196996167,320906319,6198620591,31172663151,8414522296,22917370001,25874094797,18789989127,129058819383,23461466820,22249994812,1831509817,2890109441,7165113665,772526459,11016361378,14846905767,177372898467
1958,188127178990,16828078553,2488008807,48973273893,347611691,7356449954,32897363421,8857671040,23612833178,26223145766,20115590127,137386075029,23448678721,25655101237,1943224825,960578873,7963324675,1135540214,11366172433,15510012214,188127178990
1959,176089233809,16657768096,2869424094,43914910176,354238329,5532553859,29240638738,8567049586,24180154071,26844688042,18564053568,129282225815,24416625513,19600367624,2057574702,695786000,7209835726,643027118,11930624970,13792091077,176089233809
1960,190021037349,16934621253,3955488333,48331111944,378628131,6610045903,33010797987,9095528146,25450541037,27637280394,19810121879,131122390423,27644297363,23590349980,5146434870,1373030719,8459576706,1889509013,11950145961,16930030014,190021037349
1961,203559051794,16825127614,5173324005,53173481669,454478528,6994252805,36707468187,9697169872,26782233443,28601583130,20995228348,143110829589,27912560348,24664951203,6597934038,1201389859,9554421631,2725139130,11044925442,20136579798,203559051794
1962,200379335059,17505828024,5822368075,50239087182,517459978,6417043916,35258265541,9339589955,26449756277,29461081256,21105945234,137845206581,27517345319,22317304728,5728536739,2277023934,8037864945,2537411822,15011204340,19430744419,200379335059
1963,195909941628,17845159992,5807876430,48199907359,551097275,6040131324,32429774070,9106538731,27734647056,30068471447,20285932836,134978471034,25718261865,20905934123,4454742542,1546496350,7557503501,1828187185,15335478487,15149318886,195909941628
1964,215617515445,19090094202,5911391169,57285237871,603211457,6297465232,35413050572,10088941877,28125984620,31141095765,22403254405,154776817005,25328640371,22342653204,6356063469,537263547,9555074946,1597988056,14283883294,17506064502,215617515445
1965,234880999838,20221804594,6134571365,65189801954,695205340,6538491563,39052900543,11014047709,29343961548,32248929109,24538168727,169722498228,25804114463,23138012760,7331922570,497531642,10589205964,1303719394,15701259034,17338052633,234880999838
1966,236853504332,19466489953,6474193161,65622108260,749291946,6942386148,38841713642,11014726528,31382223840,33548384482,24253541842,166332875076,27664959712,24564918627,6552092383,762117985,10143170762,1801518448,17313393019,16772620603,236853504332
1967,243512035965,20302375509,7256057950,66618965116,805355588,7835890283,39238100035,11126502116,33207676540,34487080719,24357787268,170657044849,28238404177,26684685396,6730998855,806204034,9530755677,2080169301,17129208689,16839937831,243512035965
1968,254626298598,19201057147,8152693318,70951491816,870331100,9254809575,41319651899,11720069994,34399716480,35415946285,25600637648,176704682164,29072018303,31084638573,7231841367,598868366,10083806639,2505657856,16901411984,17903374213,254626298598
1969,275864632628,20253746905,8954332985,78639241363,948176745,11023835772,45603196446,12533441317,35642701920,36323133704,27967807835,188602041596,29874262653,37601577946,8381480302,473925797,11288728676,3343866064,19617720540,22107197368,275864632628
1970,290044710094,21390526601,9563710581,83612000463,1054760116,12059038402,47481488744,13159224240,34206582739,37434072060,30399751020,197392466499,30098228199,40018129007,8377407294,473695491,11998406323,3554081676,21018528489,22018566269,290044710094
1971,300940660145,21745342726,10311906715,88749714486,1153267414,12819867106,48811902383,13342493238,33983306587,38497213745,32040734855,207206676160,31484583131,42884787856,8954558164,1207966663,13371582975,3670000377,18920332144,24033376170,300940660145
1972,306620669851,22107483614,10613158195,92306030249,1266864747,12697190217,48919908162,13334325724,33085951824,39409909769,33295086264,210526440679,30966766576,42066228405,10023738346,1700286814,14131148342,3413207890,19216932275,22206316065,306620669851
1973,317690033643,24447762936,10311666620,95968648894,1362399031,11209469271,49539026267,14076167474,34025796916,40947094356,35002629322,219217066739,32734330257,37459237260,10454662924,1095693228,15688577668,2528147892,21468460919,20548784644,317690033643
1974,337297824130,25319292916,10559272875,101611064142,1443421386,12097386399,53425814624,14942165998,38627069503,42905367975,36155871379,236689966287,35059203488,40315652250,9309737595,1043504216,17235599450,2514785682,21532108978,23644769349,337297824130
1975,334227359211,24349486188,10397849817,98999495616,1530774674,12650794156,53782378858,14456935439,34666547192,44619946243,37689035313,238241247810,35203961347,42070708630,8203471321,1318906534,15616236250,2669755180,19051219532,25177863256,334227359211
1976,331151248092,25465862828,10650291689,95983387121,1587204451,14238749822,51000580498,14310940413,33254139965,44635529268,37088079371,210326571433,37175426921,45978921336,7573754600,1175037301,18025984818,2348654673,24740134962,18473488088,331151248092
1977,354906003541,26146241331,11561278841,103503488986,1660732719,16161735660,54738974816,15169832005,38544669431,45787989257,37896785476,213772628076,39124937559,50711382336,9394809138,5632726874,22126688980,4056018982,31322522401,23798251906,354906003541
1978,339812609590,26505216493,11781752104,92631458354,1716178965,16071149432,50604743261,14634492412,41890311013,45538006658,35661607056,202975618242,41032339015,50149271893,8071377896,3643886898,15776079480,3603533154,33944802747,21613780152,339812609590
1979,365881349502,27587934623,12531079281,102117482098,1900823154,16504865944,55827193472,15909303467,45223382020,47201963928,38033732292,232212180143,42254052212,50969743921,9553874397,6174507603,15963385713,4089154511,32759330019,32284260407,365881349502
1980,371699081616,25788416645,13009710146,98285558638,2048411917,17565632931,58967033249,16014741943,51009523585,48057783370,37584466284,238469249033,44243296380,56584697303,9725484193,4018370191,14547205065,5797136195,31645838840,44046946092,371699081616
1981,350969248077,26984441114,13361269729,86027852503,1901030825,15434725797,53720558961,14700308029,55539180369,48955567444,32584898300,228882924125,44064839080,49663643088,6144398841,3017770217,12827196409,5307987989,33292873979,40418285976,350969248077
1982,341552330470,29563572338,12711134073,86720243275,2641190448,14133556505,50427359472,16229820686,55422822680,49687337427,22204212508,215665078813,49395370536,44527869811,4497646939,915073916,11313699043,2635908907,34980972774,23458992462,341552330470
1983,356710823643,30354597550,13182598190,95005190419,2342728206,14165804534,52727029785,17327611814,56259078151,51195354277,22493152641,227322760416,48543985345,44040061325,5820549188,731479559,12169312641,2052192607,35930949267,21863236749,356710823643
1984,363185438044,30199902195,13307249657,94901121164,3139337624,12570702392,56504933675,17686606882,55322914947,51984362418,26001114995,240441710243,45486547246,39238408992,7985540510,699563333,12440520871,1831843955,34988594809,22884477421,363185438044
1985,336180220646,29531767692,12500690664,81863695408,2987467540,10608115691,47803852176,17043161837,52572078968,49674562129,30406732210,216997514366,45281224324,33277821671,5199103690,603575900,11867135772,2056621231,40183226156,19778957872,336180220646
1986,360969992301,29406461963,11696151056,89179039529,2936986376,12718736941,53081323201,18451330904,54568387573,51473031241,34158915326,240103941612,47948690617,39886393317,6294867271,236706970,10571865772,1978062338,36302912681,23472547633,360969992301
1987,370987185775,28728417389,14088758415,93207674702,3799860808,14623056996,54603925216,18917060437,56082696980,53276615954,29667254562,245294943227,48851972970,45164557361,7418380763,374009198,9692724652,3024294646,35170099828,26266280508,370987185775
1988,363129097167,31200854139,13985852757,90616458693,3644812441,14315280432,52304681974,17630729522,53283455361,53518977303,29312861273,232318522210,48599110973,43482759212,6570889073,312911427,10762880575,2530248876,41514590888,23711152426,363129097167
