fecha,confirmados_Nuevos
3-3-2020,1
4-3-2020,0
5-3-2020,1
6-3-2020,6
7-3-2020,0
8-3-2020,3
9-3-2020,5
10-3-2020,2
11-3-2020,2
12-3-2020,10
13-3-2020,3
14-3-2020,11
15-3-2020,11
16-3-2020,9
17-3-2020,14
18-3-2020,19
19-3-2020,31
20-3-2020,30
21-3-2020,67
22-3-2020,41
23-3-2020,36
24-3-2020,86
25-3-2020,117
26-3-2020,87
27-3-2020,101
28-3-2020,55
29-3-2020,75
30-3-2020,146
31-3-2020,88
1-4-2020,79
2-4-2020,132
3-4-2020,88
4-4-2020,98
5-4-2020,103
6-4-2020,74
7-4-2020,87
8-4-2020,80
9-4-2020,99
10-4-2020,81
11-4-2020,167
12-4-2020,66
13-4-2020,69
14-4-2020,166
15-4-2020,128
16-4-2020,98
17-4-2020,88
18-4-2020,81
19-4-2020,102
20-4-2020,90
21-4-2020,112
22-4-2020,144
23-4-2020,147
24-4-2020,172
25-4-2020,173
26-4-2020,112
27-4-2020,111
28-4-2020,124
29-4-2020,158
30-4-2020,143
1-5-2020,105
2-5-2020,149
3-5-2020,103
4-5-2020,104
5-5-2020,133
6-5-2020,188
7-5-2020,163
8-5-2020,240
9-5-2020,165
10-5-2020,258
11-5-2020,244
12-5-2020,285
13-5-2020,316
14-5-2020,255
15-5-2020,345
16-5-2020,326
17-5-2020,263
18-5-2020,303
19-5-2020,438
20-5-2020,474
21-5-2020,648
22-5-2020,718
23-5-2020,704
24-5-2020,723
25-5-2020,552
26-5-2020,600
27-5-2020,706
28-5-2020,769
29-5-2020,717
30-5-2020,795
31-5-2020,637
1-6-2020,564
2-6-2020,904
3-6-2020,949
4-6-2020,929
5-6-2020,840
6-6-2020,983
