superficie,precio,zona
110.0,454.4256895034545,Zona 2
109.0,383.00411408149455,Zona 2
101.0,437.36263773992425,Zona 2
58.0,304.392485956721,Zona 3
129.0,620.0277215445274,Zona 3
60.0,204.30594385513916,Zona 1
42.0,126.45078824957687,Zona 1
89.0,460.6239545525348,Zona 3
72.0,304.1199396237336,Zona 2
37.0,161.1716222745194,Zona 1
103.0,423.9091663288662,Zona 2
42.0,184.0429451116194,Zona 1
61.0,258.6738814918485,Zona 3
69.0,301.28418536945503,Zona 2
126.0,581.6199583345705,Zona 3
111.0,507.17161394533366,Zona 3
95.0,422.0103726399218,Zona 3
82.0,256.1327957204611,Zona 1
29.0,162.5899776624218,Zona 1
113.0,486.1005719240029,Zona 2
48.0,205.0656831185353,Zona 1
38.0,121.69707071869392,Zona 1
83.0,251.5602811509769,Zona 1
135.0,503.24721964325,Zona 2
116.0,453.6951763169135,Zona 2
147.0,731.4933733498385,Zona 3
127.0,520.2099270542498,Zona 2
98.0,438.35124752080014,Zona 2
46.0,178.22598576073696,Zona 1
66.0,223.28891333081523,Zona 1
80.0,255.3419385800552,Zona 1
29.0,121.23781087529515,Zona 1
68.0,205.84431264273616,Zona 1
84.0,253.0051938783672,Zona 1
46.0,134.51571243613637,Zona 1
80.0,388.1398901582722,Zona 3
92.0,382.9791866480292,Zona 2
67.0,219.19073447104816,Zona 1
98.0,452.91683425492215,Zona 3
130.0,512.759164172338,Zona 2
98.0,448.8816309418025,Zona 3
50.0,167.15592127072622,Zona 1
101.0,439.5881998865496,Zona 3
115.0,471.7345086370784,Zona 2
98.0,393.65440160502135,Zona 2
82.0,415.9355570643132,Zona 3
144.0,677.1166079144884,Zona 3
87.0,353.9196465830099,Zona 2
80.0,304.9516443019004,Zona 2
84.0,317.7285323165683,Zona 2
128.0,477.2847343886529,Zona 2
131.0,656.4200811421185,Zona 3
70.0,289.33400467040667,Zona 2
63.0,213.9129961651404,Zona 1
53.0,191.13963439320497,Zona 1
80.0,435.2018898052749,Zona 3
63.0,206.44183808242988,Zona 1
138.0,662.0288296224822,Zona 3
61.0,234.15976596613456,Zona 1
49.0,175.25025359260076,Zona 1
87.0,430.7692333776893,Zona 3
76.0,383.6216092125557,Zona 3
117.0,577.0099105858544,Zona 3
136.0,648.5427568690645,Zona 3
70.0,337.7231378869636,Zona 2
89.0,274.89167593510126,Zona 1
99.0,1606.8256776878968,Zona 2
63.0,266.49786616521635,Zona 2
111.0,577.5991560712798,Zona 3
93.0,429.07345689542416,Zona 3
65.0,231.4107368224128,Zona 1
64.0,205.0281393624003,Zona 1
60.0,176.42143459837155,Zona 1
33.0,129.7844226129166,Zona 1
79.0,344.3962634482688,Zona 2
28.0,160.43456771277073,Zona 1
81.0,314.7500342269597,Zona 2
86.0,346.39414225205235,Zona 2
93.0,411.2812391710814,Zona 2
71.0,330.9566048506474,Zona 3
52.0,147.9169693115546,Zona 1
129.0,508.4937678409011,Zona 2
89.0,427.2531454003331,Zona 3
128.0,614.3096388366589,Zona 3
52.0,183.92335423738524,Zona 1
80.0,386.9385937448399,Zona 3
53.0,197.62147992763457,Zona 1
141.0,714.1652659643514,Zona 3
55.0,187.28470068231252,Zona 1
58.0,166.385827496574,Zona 1
45.0,169.28973780465927,Zona 1
87.0,370.5996052248473,Zona 2
30.0,129.60762181599927,Zona 1
70.0,285.9702220469158,Zona 2
106.0,532.5525751330374,Zona 3
52.0,185.46230557197532,Zona 1
57.0,229.04755973878883,Zona 1
118.0,534.0027635282553,Zona 3
45.0,156.34855263709667,Zona 1
38.0,132.09022073180796,Zona 1
86.0,355.58967219395885,Zona 2
95.0,456.2005781980835,Zona 3
66.0,335.39304557842866,Zona 2
59.0,200.79355289444013,Zona 1
38.0,138.9095709053738,Zona 1
58.0,271.21472820584086,Zona 2
