FDC_ID,Item,Category,Calorias_kcal,Proteinas_g,Carbohidratos_g,GrasaTotal_g,Colesterol_mg,Fibra_g,Agua_g,Alcohol_g,VitaminaC_mg
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",Baked Products,307.0,5.88,41.18,13.24,0.0,1.2,35.5,,
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",Baked Products,330.0,4.34,53.42,11.27,0.0,1.4,27.86,,0.1
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",Baked Products,377.0,6.1,79.8,3.7,,,3.2,,
167515,"George Weston Bakeries, Thomas English Muffins",Baked Products,232.0,8.0,46.0,1.8,,,42.6,,
167516,"Waffles, buttermilk, frozen, ready-to-heat",Baked Products,273.0,6.58,41.05,9.22,15.0,2.2,40.34,0.0,0.0
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",Baked Products,309.0,7.42,48.39,9.49,13.0,2.6,31.57,0.0,0.0
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",Baked Products,289.0,6.92,44.16,9.4,16.0,2.4,36.48,,0.0
167519,"Waffle, plain, frozen, ready-to-heat, microwave",Baked Products,298.0,6.71,45.41,9.91,16.0,2.4,34.95,,
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",Baked Products,501.0,5.1,64.3,24.83,0.0,1.9,4.37,0.0,0.0
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",Baked Products,484.0,6.08,64.48,22.42,0.0,2.7,4.99,0.0,0.0
167522,"Pie, Dutch Apple, Commercially Prepared",Baked Products,290.0,2.17,44.54,11.5,0.0,1.6,41.09,0.0,5.7
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",Baked Products,468.0,5.52,46.79,28.74,,1.4,17.78,,
167524,"Waffles, chocolate chip, frozen, ready-to-heat",Baked Products,297.0,5.8,45.68,10.1,21.0,1.5,35.62,0.0,0.0
167525,"Tostada shells, corn",Baked Products,474.0,6.15,64.43,23.38,,5.8,3.32,,
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",Baked Products,374.0,7.12,47.84,17.12,59.0,0.7,25.48,0.0,0.0
167527,"Bread, pound cake type, pan de torta salvadoran",Baked Products,390.0,7.06,51.29,17.45,,1.7,22.38,,
167528,"Pastry, Pastelitos de Guava (guava pastries)",Baked Products,379.0,5.48,47.76,18.5,10.0,2.2,27.26,,
167529,"Crackers, snack, Goya Crackers",Baked Products,433.0,14.25,64.35,13.35,,3.8,5.93,,
167530,"Crackers, cream, Gamesa Sabrosas",Baked Products,484.0,7.01,64.55,20.37,,2.4,4.45,,
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",Baked Products,464.0,7.19,64.88,19.5,,2.4,4.48,,
167532,"Bread, white wheat",Baked Products,238.0,10.66,43.91,2.15,0.0,9.2,39.6,0.0,0.0
167533,"Bagels, wheat",Baked Products,250.0,10.2,48.89,1.53,0.0,4.1,37.55,0.0,0.0
167534,"Cream puff, eclair, custard or cream filled, iced",Baked Products,334.0,4.41,37.43,18.52,66.0,0.9,38.64,0.0,0.0
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",Baked Products,297.0,8.01,49.27,7.58,0.0,2.4,32.43,0.0,0.0
167590,"Andrea's, Gluten Free Soft Dinner Roll",Baked Products,257.0,5.65,40.24,8.2,,2.9,44.6,,
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",Baked Products,456.0,10.91,67.18,15.92,,7.5,3.29,,
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",Baked Products,474.0,2.19,76.03,17.89,,2.5,2.84,,
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",Baked Products,487.0,2.19,77.34,18.79,,0.0,1.29,,
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",Baked Products,467.0,9.42,65.81,18.42,,2.4,3.47,,
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",Baked Products,459.0,11.16,64.7,17.29,,3.5,3.33,,
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",Baked Products,469.0,9.67,65.11,18.93,,3.5,3.51,,
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",Baked Products,320.0,3.13,52.83,10.7,,3.5,31.67,,
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",Baked Products,298.0,5.4,51.15,8.02,,5.5,33.69,,
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",Baked Products,309.0,7.25,49.09,9.34,,4.9,32.36,,
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",Baked Products,329.0,11.8,44.29,11.6,,11.2,29.9,,
167601,"Van's, Gluten Free, Totally Original Pancakes",Baked Products,215.0,3.31,40.32,4.55,,1.5,50.24,,
167921,"Pillsbury Grands, Buttermilk Biscuits, refrigerated dough",Baked Products,293.0,6.16,42.41,11.34,0.0,1.5,36.12,,0.0
167922,"Heinz, Weight Watcher, Chocolate Eclair, frozen",Baked Products,241.0,4.4,40.3,6.9,47.0,2.1,47.3,,0.0
167923,"Interstate Brands Corp, Wonder Hamburger Rolls",Baked Products,273.0,8.07,50.84,4.15,,2.6,34.2,,
167924,"Nabisco, Nabisco Snackwell's Fat Free Devil's Food Cookie Cakes",Baked Products,305.0,5.0,74.25,1.09,0.0,1.6,17.65,,0.1
167925,"Crackers, cheese, sandwich-type with cheese filling",Baked Products,490.0,8.92,58.76,24.41,6.0,1.9,4.81,0.0,2.6
167926,"Pancakes, plain, frozen, ready-to-heat, microwave (includes buttermilk)",Baked Products,239.0,5.88,43.33,4.73,,2.5,43.8,,
167927,"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",Baked Products,385.0,4.01,71.83,9.02,0.0,1.8,14.04,0.0,0.0
167928,"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",Baked Products,409.0,4.7,72.7,11.03,,1.0,10.46,,0.0
167929,"Muffin, blueberry, commercially prepared, low-fat",Baked Products,255.0,4.23,50.05,4.22,28.0,4.2,39.94,0.0,0.9
167930,"Pie crust, refrigerated, regular, baked",Baked Products,506.0,3.41,58.52,28.69,,1.4,7.96,,
167931,"Pie crust, deep dish, frozen, baked, made with enriched flour",Baked Products,521.0,6.1,52.47,31.84,,2.3,8.26,,
167932,"Pie crust, refrigerated, regular, unbaked",Baked Products,445.0,2.97,51.11,25.46,,1.8,19.25,,
167933,"Crackers, whole-wheat, reduced fat",Baked Products,416.0,11.34,75.52,7.59,0.0,10.9,2.59,0.0,0.0
167934,"Crackers, wheat, reduced fat",Baked Products,444.0,9.34,71.52,13.37,0.0,3.4,2.73,0.0,0.0
