pH,MO,P,N,S,P_Ferti,P_kgha,S_Fuente,S_kgha,Ndisp,Palc,Variedad,FdS,plantas,momento,IncSep,IncMam,IncRoya,FdD,Espigas,Rendimiento
6.2,3.1,6.0,26,4.3,MAP,100,S,0,100,18.5,Baguette 11,05-jun,260,Z 3.7,4.0,35.0,4.0,24-oct,621,5666
6.2,3.1,6.0,26,4.3,MAP,100,S,0,160,18.5,Baguette 11,05-jun,260,Z 3.7,4.0,35.0,4.0,24-oct,673,5874
6.2,3.1,6.0,26,4.3,MAP,100,S,15,160,18.5,Baguette 11,05-jun,249,Z 3.7,4.0,35.0,4.0,24-oct,671,5862
6.2,3.1,6.0,26,4.3,MAP,100,S,0,220,18.5,Baguette 11,05-jun,252,Z 3.7,4.0,35.0,4.0,24-oct,721,6055
6.2,3.1,6.0,26,4.3,MAP,140,S,0,100,23.5,Baguette 11,05-jun,272,Z 3.7,4.0,35.0,4.0,24-oct,656,5660
6.2,3.1,6.0,26,4.3,MAP,140,S,0,160,23.5,Baguette 11,05-jun,268,Z 3.7,4.0,35.0,4.0,24-oct,692,5563
6.2,3.1,6.0,26,4.3,MAP,140,S,15,160,23.5,Baguette 11,05-jun,263,Z 3.7,4.0,35.0,4.0,24-oct,719,6313
6.2,3.1,6.0,26,4.3,MAP,140,S,0,220,23.5,Baguette 11,05-jun,255,Z 3.7,4.0,35.0,4.0,24-oct,710,5861
6.2,3.1,6.0,26,4.3,MAP,180,S,15,160,28.5,Baguette 11,05-jun,251,Z 3.7,4.0,35.0,4.0,24-oct,731,6160
6.2,3.1,6.0,26,4.3,MAP,180,S,0,220,28.5,Baguette 11,05-jun,267,Z 3.7,4.0,35.0,4.0,24-oct,743,6050
6.2,3.1,6.0,26,4.3,MAP,180,S,15,220,28.5,Baguette 11,05-jun,256,Z 3.7,4.0,35.0,4.0,24-oct,739,6154
6.2,3.5,10.5,24,2.2,MAP,100,S,0,100,23.0,Baguette 11,07-jun,297,Z3.9,4.0,22.0,4.0,24-oct,610,5457
6.2,3.5,10.5,24,2.2,MAP,100,S,0,160,23.0,Baguette 11,07-jun,317,Z3.9,4.0,22.0,4.0,24-oct,635,6170
6.2,3.5,10.5,24,2.2,MAP,100,S,15,160,23.0,Baguette 11,07-jun,296,Z3.9,4.0,22.0,4.0,24-oct,614,6259
6.2,3.5,10.5,24,2.2,MAP,100,S,0,220,23.0,Baguette 11,07-jun,311,Z3.9,4.0,22.0,4.0,24-oct,617,6133
6.2,3.5,10.5,24,2.2,MAP,140,S,0,100,28.0,Baguette 11,07-jun,306,Z3.9,4.0,22.0,4.0,24-oct,639,5720
6.2,3.5,10.5,24,2.2,MAP,140,S,0,160,28.0,Baguette 11,07-jun,299,Z3.9,4.0,22.0,4.0,24-oct,651,6280
6.2,3.5,10.5,24,2.2,MAP,140,S,15,160,28.0,Baguette 11,07-jun,320,Z3.9,4.0,22.0,4.0,24-oct,651,6379
6.2,3.5,10.5,24,2.2,MAP,140,S,0,220,28.0,Baguette 11,07-jun,297,Z3.9,4.0,22.0,4.0,24-oct,645,6256
6.2,3.5,10.5,24,2.2,MAP,180,S,15,160,33.0,Baguette 11,07-jun,309,Z3.9,4.0,22.0,4.0,24-oct,638,6341
