x, y
 2.50064460e-03,  6.48826703e+03
-2.69798647e-02,  2.52194722e+03
-2.90007604e-02,  3.06877291e+03
 7.02950576e-03,  4.31427482e+03
-2.53563494e-02,  2.38449945e+03
-1.70297829e-02,  7.80540956e+03
 2.22322228e-02,  8.38773426e+02
 7.93137001e-05,  4.17614316e+03
-1.79041773e-02,  3.02668532e+03
 1.76747403e-02,  1.26987864e+03
-9.49424332e-03,  7.81974467e+03
 2.51921931e-02,  1.87335276e+02
 2.33812285e-02,  3.43116792e+03
-2.39482483e-02,  3.39806103e+03
-7.91981675e-03,  2.95679593e+03
 3.22881491e-02,  1.13171965e+03
-1.80822253e-02,  1.59701749e+03
 1.62350489e-02,  4.09867867e+02
 1.21767506e-02,  3.89290127e+03
-1.22768985e-02,  3.54666555e+03
-1.06406044e-02,  3.53554556e+03
-2.07216196e-02,  2.66329169e+03
-1.95483315e-02,  7.15134224e+03
 1.07627418e-02,  4.68480619e+03
 8.15468056e-03,  4.78526116e+03
-2.11521989e-02,  7.10913422e+03
-6.27609843e-03,  7.23773243e+03
 4.88382309e-03,  3.26801777e+03
 1.68908795e-02,  4.49395289e+03
 3.41085289e-02,  8.72309369e+02
 1.36034899e-02,  3.33361370e+03
 5.32532281e-03,  5.22959608e+03
-2.21078549e-02,  3.38885677e+03
 6.77450608e-03,  5.46150656e+03
-1.32356154e-02,  4.13050840e+03
-1.30927414e-02,  7.84702765e+03
 2.04585825e-02,  9.94220561e+02
 1.54592256e-02,  4.35631807e+03
 1.77710994e-02,  1.18655254e+03
 6.70478769e-03,  4.04094275e+03
-1.68389128e-02,  2.80853539e+03
-6.35181423e-03,  7.50393561e+03
 2.35151259e-02,  8.28001297e+02
-4.74920358e-04,  5.47425256e+03
 2.22353254e-02,  3.01789493e+02
-1.38281114e-02,  7.65411018e+03
 1.86985974e-02, -1.07938624e+02
 1.67280531e-02,  6.59300571e+02
 1.61990909e-02,  6.76452867e+01
-1.50305376e-02,  7.33748126e+03
-1.32740096e-02,  8.07831710e+03
-4.51586157e-03,  7.77469112e+03
-1.40986219e-02,  1.84894455e+03
-6.83705206e-03,  8.07858246e+03
-9.68555919e-03,  7.61331455e+03
-2.50648473e-02,  1.97722163e+03
 1.86725632e-03,  4.02683656e+03
 1.94087543e-02,  6.60753952e+02
 4.59764179e-03,  1.26145537e+03
-9.61076361e-03,  1.27407596e+03
 1.81559810e-02,  1.11969719e+03
 2.69637316e-02,  6.25632178e+02
 2.54397941e-02,  9.33019013e+02
 1.64003761e-02,  1.81948989e+03
 1.08272576e-02,  4.06271877e+03
-2.13772914e-02,  2.87116941e+03
 2.02996465e-02,  7.25531345e+02
-5.55523811e-03,  4.69595848e+03
-3.20150004e-03,  2.89112501e+03
 2.18188381e-04,  6.86893297e+03
-1.20091688e-02,  3.18130804e+03
 4.94224280e-03,  3.89005746e+03
-2.09352511e-02,  3.06074415e+03
-1.55147077e-02,  7.34598509e+03
 2.74666646e-02,  1.54543482e+03
-8.49747575e-03,  3.21548283e+03
 5.90099037e-03,  2.96974544e+03
-2.10956676e-02,  3.10677258e+03
-1.64213398e-02,  6.13472731e+03
-7.35421887e-03,  2.38843097e+03
-1.67211591e-02,  3.82883896e+03
 9.14338767e-03,  4.55014643e+03
 1.25471244e-02,  8.96331565e+01
-1.12947540e-02,  8.48462115e+03
 2.40615694e-02,  4.87047502e+03
-2.94865616e-02,  3.43631364e+03
-2.94540830e-02,  2.93008277e+03
 2.13979079e-03,  4.88542535e+03
-2.08499791e-02,  2.81072881e+03
 2.47434181e-02,  8.99926193e+02
-1.83741544e-02,  2.33058435e+03
 2.56024628e-02,  7.47988512e+02
 4.31891060e-03,  4.33495456e+03
-1.50470058e-02,  3.37862371e+03
-1.82859403e-02,  4.36535447e+03
-1.55276634e-02,  7.20433195e+03
 9.82570091e-03,  5.37530962e+03
 2.45509737e-02,  6.21231788e+02
 1.36085437e-02,  7.10288309e+02
 2.47019077e-02,  1.31451315e+03
-1.66063520e-02,  7.76497529e+03
 1.69747910e-02,  8.66123282e+02
 4.28576743e-03,  4.97399710e+03
 1.15521298e-02,  5.09961887e+03
-1.17297612e-02,  2.69956698e+03
-4.01552536e-03,  8.30694231e+03
 9.59360742e-03,  4.56078645e+03
-1.95264083e-03,  7.75566696e+03
 1.97369770e-02,  1.57979848e+03
-1.80892374e-02,  2.78784338e+03
-1.65707376e-02,  3.18511821e+03
-2.10320664e-02,  2.44201184e+03
 7.15177948e-03,  5.41334556e+03
-2.15968109e-02,  3.41003096e+03
-1.47334404e-02,  7.09974230e+03
 2.87398663e-02,  4.83994149e+02
-2.41567762e-02,  7.28778992e+03
-1.31404940e-02,  3.28801419e+03
-1.26230964e-02,  8.48297685e+03
